"","expression","observation","ci.low","mean","ci.high"
"1","is likely",0,2.005,2.005,3.01999999999998
"2","is possible",0,2.058,2.058,2.942
"3","is unlikely",0,6.133,13.133,6.867
"4","is_certainly likely",0,1.06,1.06,1.94
"5","is_certainly possible",0,1.965,1.965,3.035
"6","is_certainly unlikely",0,9.019,27.019,8.981
"7","is_probably likely",0,0.996,0.996,2.004
"8","is_probably possible",0,1.97,1.97,3.03
"9","is_probably unlikely",0,5.947,10.947,6.053
"10","might_be likely",0,0,0,0
"11","might_be possible",0,3.899,4.899,5.101
"12","might_be unlikely",0,3.983,5.983,5.017
"13","is likely",1,5.968,8.968,6.032
"14","is possible",1,4.933,9.933,6.067
"15","is unlikely",1,10.708,50.708,11.292
"16","is_certainly likely",1,5.928,9.928,6.072
"17","is_certainly possible",1,6.007,13.982,7.018
"18","is_certainly unlikely",1,11.322,62.322,11.678
"19","is_probably likely",1,5.889,11.889,7.111
"20","is_probably possible",1,6.065,12.065,6.935
"21","is_probably unlikely",1,9.948,45.948,12.052
"22","might_be likely",1,6.015,11.015,6.985
"23","might_be possible",1,6.857,16.857,7.143
"24","might_be unlikely",1,11.002,43.002,10.998
"25","is likely",2,7.14,16.14,7.86
"26","is possible",2,10.665,45.665,11.335
"27","is unlikely",2,10.043,44.043,10.957
"28","is_certainly likely",2,7.107,15.107,7.893
"29","is_certainly possible",2,7.999,17.999,8.001
"30","is_certainly unlikely",2,8.853,23.853,9.147
"31","is_probably likely",2,7.001,15.001,7.999
"32","is_probably possible",2,10.051,38.051,10.949
"33","is_probably unlikely",2,10.819,53.794,11.206
"34","might_be likely",2,10.086,38.086,10.914
"35","might_be possible",2,9.871,33.871,10.129
"36","might_be unlikely",2,11.196,53.196,11.804
"37","is likely",3,9.911,29.911,10.089
"38","is possible",3,10.78,54.78,12.22
"39","is unlikely",3,6.128,13.128,6.872
"40","is_certainly likely",3,7.943,20.943,9.057
"41","is_certainly possible",3,9.922,37.922,11.078
"42","is_certainly unlikely",3,4.042,5.042,4.958
"43","is_probably likely",3,8.046,26.021,8.979
"44","is_probably possible",3,11.154,43.154,10.846
"45","is_probably unlikely",3,6.948,13.948,7.052
"46","might_be likely",3,11.073,54.073,11.927
"47","might_be possible",3,10.972,54.947,12.053
"48","might_be unlikely",3,7.959,17.959,8.041
"49","is likely",4,8.923,34.898,11.102
"50","is possible",4,8.141,20.141,8.859
"51","is unlikely",4,6.022,13.997,7.003
"52","is_certainly likely",4,9.148,28.148,9.852
"53","is_certainly possible",4,9.958,40.958,10.042
"54","is_certainly unlikely",4,4.888,7.888,5.112
"55","is_probably likely",4,10.882,52.882,11.118
"56","is_probably possible",4,9.965,33.965,10.06
"57","is_probably unlikely",4,5.862,12.862,7.138
"58","might_be likely",4,8.92,30.92,11.08
"59","might_be possible",4,9.017,27.017,9.00799999999998
"60","might_be unlikely",4,7.042,16.042,7.958
"61","is likely",5,9.155,26.155,8.845
"62","is possible",5,5.076,10.076,6.924
"63","is unlikely",5,3.994,6.969,5.031
"64","is_certainly likely",5,10.143,32.143,9.857
"65","is_certainly possible",5,6.973,15.973,8.027
"66","is_certainly unlikely",5,6.14,11.14,6.86
"67","is_probably likely",5,8.706,26.706,9.294
"68","is_probably possible",5,5.056,9.056,5.944
"69","is_probably unlikely",5,4.01,6.01,4.99
"70","might_be likely",5,5.184,8.184,5.816
"71","might_be possible",5,5.005,9.005,5.995
"72","might_be unlikely",5,3.126,4.126,3.874
"73","is likely",6,7.972,18.972,8.028
"74","is possible",6,3.021,4.021,3.979
"75","is unlikely",6,0.94,0.94,2.06
"76","is_certainly likely",6,7.921,17.921,8.079
"77","is_certainly possible",6,5.052,9.052,5.948
"78","is_certainly unlikely",6,4.04,5.04,4.96
"79","is_probably likely",6,5.965,12.965,7.035
"80","is_probably possible",6,4.97,8.97,6.03
"81","is_probably unlikely",6,1.966,1.966,3.034
"82","might_be likely",6,3.006,4.006,3.994
"83","might_be possible",6,2.014,2.014,2.986
"84","might_be unlikely",6,5.033,7.033,5.967
"85","is likely",7,5.082,8.082,5.918
"86","is possible",7,1.94,1.94,3.06
"87","is unlikely",7,3.984,6.984,5.016
"88","is_certainly likely",7,7.01,15.01,6.99
"89","is_certainly possible",7,5.059,9.059,5.941
"90","is_certainly unlikely",7,3.022,4.022,3.978
"91","is_probably likely",7,1.001,1.001,1.999
"92","is_probably possible",7,2.977,2.977,4.023
"93","is_probably unlikely",7,1.982,1.982,3.018
"94","might_be likely",7,1.995,1.995,3.005
"95","might_be possible",7,0.998,0.998,2.002
"96","might_be unlikely",7,0.974,0.974,2.026
"97","is likely",8,2.998,2.998,4.002
"98","is possible",8,1.042,1.042,1.958
"99","is unlikely",8,0,0,0
"100","is_certainly likely",8,4.043,6.043,4.957
"101","is_certainly possible",8,0.978,0.978,2.022
"102","is_certainly unlikely",8,3.016,3.016,3.984
"103","is_probably likely",8,0.979,0.979,2.021
"104","is_probably possible",8,0,0,0
"105","is_probably unlikely",8,1.998,1.998,3.002
"106","might_be likely",8,1.958,1.958,3.042
"107","might_be possible",8,0,0,0
"108","might_be unlikely",8,2.089,2.089,2.911
"109","is likely",9,0.971,0.971,2.029
"110","is possible",9,0,0,0
"111","is unlikely",9,0,0,0
"112","is_certainly likely",9,2.977,3.977,4.023
"113","is_certainly possible",9,1.985,1.985,3.015
"114","is_certainly unlikely",9,0.982,0.982,2.018
"115","is_probably likely",9,0,0,0
"116","is_probably possible",9,0,0,0
"117","is_probably unlikely",9,0,0,0
"118","might_be likely",9,0,0,0
"119","might_be possible",9,0,0,0
"120","might_be unlikely",9,0,0,0
"121","is likely",10,0.964,0.964,2.036
"122","is possible",10,0,0,0
"123","is unlikely",10,0,0,0
"124","is_certainly likely",10,0,0,0
"125","is_certainly possible",10,0,0,0
"126","is_certainly unlikely",10,0,0,0
"127","is_probably likely",10,0.986,0.986,2.014
"128","is_probably possible",10,0,0,0
"129","is_probably unlikely",10,0,0,0
"130","might_be likely",10,0,0,0
"131","might_be possible",10,0,0,0
"132","might_be unlikely",10,0,0,0
