"","value","message","ci.low","mean","ci.high"
"1",20,"is likely",3.64875,4.89875,5.10125
"2",22,"is likely",5.22933333333333,7.896,6.77066666666667
"3",41,"is likely",5.20657894736842,6.52236842105263,5.31973684210526
"4",42,"is likely",6.23717948717949,10.0833333333333,6.58333333333333
"5",43,"is likely",7.71538461538462,15.4076923076923,8.95128205128205
"6",80,"is likely",3.50833333333333,3.50833333333333,4.825
"7",82,"is likely",1.06279069767442,1.06279069767442,2.42558139534884
"8",84,"is likely",5.14285714285714,7.74025974025974,6.54545454545455
"9",86,"is likely",9.28965517241379,34.5770114942529,10.2505747126437
"10",88,"is likely",7.11647058823529,15.3223529411765,8.20705882352941
"11",102,"is likely",2.17222222222222,2.17222222222222,3.38333333333333
"12",103,"is likely",4.09861111111111,4.09861111111111,5.62361111111111
"13",105,"is likely",4.83734939759036,7.24698795180723,6.00602409638554
"14",107,"is likely",9.99555555555555,45.5511111111111,10.0044444444444
"15",108,"is likely",9.73855421686747,30.2204819277108,9.56867469879515
"16",20,"is possible",7.6,15.1,8.65
"17",22,"is possible",9.41333333333333,21.4133333333333,9.28666666666664
"18",41,"is possible",5.26710526315789,6.58289473684211,6.575
"19",42,"is possible",9.31282051282051,27.2615384615385,9.91794871794872
"20",43,"is possible",6.32051282051282,11.4487179487179,6.5
"21",80,"is possible",1.2,1.2,2.37142857142857
"22",82,"is possible",2.27674418604651,2.27674418604651,3.53720930232558
"23",84,"is possible",9.08571428571429,28.5662337662338,10.3948051948052
"24",86,"is possible",4.57701149425287,6.87586206896552,5.76781609195402
"25",88,"is possible",1.15882352941176,1.15882352941176,2.37058823529412
"26",102,"is possible",3.27777777777778,4.38888888888889,4.5
"27",103,"is possible",5.5125,6.90138888888889,6.9875
"28",105,"is possible",9.41927710843374,34.7204819277108,9.85783132530121
"29",107,"is possible",3.32222222222222,4.43333333333333,4.45555555555556
"30",108,"is possible",2.51325301204819,2.51325301204819,3.51084337349398
"31",20,"is unlikely",7.635,16.385,8.615
"32",22,"is unlikely",3.91333333333333,5.24666666666667,5.42
"33",41,"is unlikely",10.4671052631579,30.2039473684211,10.5855263157895
"34",42,"is unlikely",0,0,0
"35",43,"is unlikely",1.29615384615385,1.29615384615385,2.55
"36",80,"is unlikely",9.40119047619048,32.0202380952381,9.64642857142857
"37",82,"is unlikely",10.3418604651163,38.2488372093023,10.5883720930233
"38",84,"is unlikely",3.8012987012987,3.8012987012987,5.28961038961039
"39",86,"is unlikely",2.30344827586207,2.30344827586207,3.44367816091954
"40",88,"is unlikely",3.61176470588235,4.78823529411765,4.62352941176471
"41",102,"is unlikely",10.0822222222222,43.4155555555556,9.91777777777778
"42",103,"is unlikely",10.9944444444444,45.7166666666667,11.2277777777778
"43",105,"is unlikely",1.18674698795181,1.18674698795181,2.42771084337349
"44",107,"is unlikely",1.12,1.12,2.21333333333333
"45",108,"is unlikely",3.65180722891566,3.65180722891566,4.78192771084337
"46",20,"is_certainly likely",2.49625,2.49625,3.75375
"47",22,"is_certainly likely",4.036,4.036,5.29733333333333
"48",41,"is_certainly likely",0,0,0
"49",42,"is_certainly likely",0,0,0
"50",43,"is_certainly likely",1.24487179487179,1.24487179487179,2.60128205128205
"51",80,"is_certainly likely",4.71785714285714,5.90833333333333,5.99642857142857
"52",82,"is_certainly likely",2.26162790697674,2.26162790697674,3.55232558139535
"53",84,"is_certainly likely",1.27142857142857,1.27142857142857,2.62467532467532
"54",86,"is_certainly likely",3.47241379310345,4.62183908045977,4.5735632183908
"55",88,"is_certainly likely",10.5752941176471,55.2811764705882,10.6011764705882
"56",102,"is_certainly likely",2.27222222222222,2.27222222222222,3.28333333333333
"57",103,"is_certainly likely",1.36111111111111,1.36111111111111,2.80555555555556
"58",105,"is_certainly likely",3.59156626506024,3.59156626506024,4.8421686746988
"59",107,"is_certainly likely",7.73333333333333,15.5111111111111,7.82222222222222
"60",108,"is_certainly likely",9.60722891566265,30.089156626506,9.66987951807229
"61",20,"is_certainly possible",0,0,0
"62",22,"is_certainly possible",0,0,0
"63",41,"is_certainly possible",0,0,0
"64",42,"is_certainly possible",1.25384615384615,1.25384615384615,2.62435897435895
"65",43,"is_certainly possible",1.25897435897436,1.25897435897436,2.58717948717949
"66",80,"is_certainly possible",0,0,0
"67",82,"is_certainly possible",0,0,0
"68",84,"is_certainly possible",1.3012987012987,1.3012987012987,2.5948051948052
"69",86,"is_certainly possible",0,0,0
"70",88,"is_certainly possible",2.30588235294118,2.30588235294118,3.57647058823529
"71",102,"is_certainly possible",0,0,0
"72",103,"is_certainly possible",0,0,0
"73",105,"is_certainly possible",4.82530120481928,7.23493975903614,6.01807228915663
"74",107,"is_certainly possible",2.24555555555556,2.24555555555556,3.31
"75",108,"is_certainly possible",3.66144578313253,3.66144578313253,4.77228915662651
"76",20,"is_certainly unlikely",4.91125,8.63,7.62
"77",22,"is_certainly unlikely",0,0,0
"78",41,"is_certainly unlikely",0,0,0
"79",42,"is_certainly unlikely",1.35128205128205,1.35128205128205,2.49487179487179
"80",43,"is_certainly unlikely",0,0,0
"81",80,"is_certainly unlikely",9.21666666666667,43.7107142857143,9.86071428571428
"82",82,"is_certainly unlikely",5.80697674418605,9.2953488372093,6.98372093023256
"83",84,"is_certainly unlikely",1.33636363636364,1.33636363636364,2.59220779220776
"84",86,"is_certainly unlikely",1.19540229885057,1.19540229885057,2.25287356321839
"85",88,"is_certainly unlikely",1.16941176470588,1.16941176470588,2.36
"86",102,"is_certainly unlikely",5.51333333333333,12.18,6.70888888888889
"87",103,"is_certainly unlikely",4.2125,4.2125,5.50972222222222
"88",105,"is_certainly unlikely",1.11204819277108,1.11204819277108,2.50240963855422
"89",107,"is_certainly unlikely",0,0,0
"90",108,"is_certainly unlikely",3.59156626506024,3.59156626506024,4.8421686746988
"91",20,"is_probably likely",3.79,3.79,4.96
"92",22,"is_probably likely",2.60666666666667,2.60666666666667,4.06
"93",41,"is_probably likely",3.91447368421053,3.91447368421053,5.29605263157895
"94",42,"is_probably likely",3.82307692307692,3.82307692307692,3.90128205128202
"95",43,"is_probably likely",9.01025641025641,21.8307692307692,10.2205128205128
"96",80,"is_probably likely",1.19642857142857,1.19642857142857,2.375
"97",82,"is_probably likely",2.23953488372093,2.23953488372093,3.57441860465116
"98",84,"is_probably likely",3.89220779220779,3.89220779220779,5.1987012987013
"99",86,"is_probably likely",7.96781609195402,24.0597701149425,9.27356321839081
"100",88,"is_probably likely",5.84588235294118,9.37529411764706,5.91882352941177
"101",102,"is_probably likely",1.09222222222222,1.09222222222222,2.24111111111111
"102",103,"is_probably likely",4.40833333333333,5.79722222222222,5.31388888888889
"103",105,"is_probably likely",3.65421686746988,4.85903614457831,4.80963855421684
"104",107,"is_probably likely",7.89777777777778,20.12,7.65777777777778
"105",108,"is_probably likely",7.37469879518072,17.0132530120482,8.28795180722891
"106",20,"is_probably possible",3.7175,3.7175,5.0325
"107",22,"is_probably possible",6.70133333333333,9.368,7.96533333333333
"108",41,"is_probably possible",3.85657894736842,3.85657894736842,4.03815789473684
"109",42,"is_probably possible",5.24487179487179,7.80897435897436,6.29358974358974
"110",43,"is_probably possible",5.23589743589743,10.3320512820513,7.61666666666667
"111",80,"is_probably possible",0,0,0
"112",82,"is_probably possible",1.22441860465116,1.22441860465116,2.26395348837209
"113",84,"is_probably possible",6.27662337662338,10.1727272727273,6.71038961038961
"114",86,"is_probably possible",4.6264367816092,6.92528735632184,5.7183908045977
"115",88,"is_probably possible",2.41058823529412,2.41058823529412,3.47176470588235
"116",102,"is_probably possible",3.31444444444444,4.42555555555556,4.46333333333333
"117",103,"is_probably possible",5.77638888888889,7.16527777777778,6.72361111111111
"118",105,"is_probably possible",3.60963855421687,4.8144578313253,4.82409638554217
"119",107,"is_probably possible",2.25666666666667,2.25666666666667,3.29888888888889
"120",108,"is_probably possible",1.24457831325301,1.24457831325301,2.36987951807229
"121",20,"is_probably unlikely",4.92625,6.17625,5.07375
"122",22,"is_probably unlikely",2.676,2.676,3.99066666666667
"123",41,"is_probably unlikely",9.41315789473684,23.8868421052632,9.04078947368418
"124",42,"is_probably unlikely",1.28846153846154,1.28846153846154,2.58974358974356
"125",43,"is_probably unlikely",2.61025641025641,2.61025641025641,3.8
"126",80,"is_probably unlikely",4.68809523809524,7.06904761904762,6.02619047619048
"127",82,"is_probably unlikely",8.23604651162791,23.3523255813953,9.20581395348837
"128",84,"is_probably unlikely",1.22857142857143,1.22857142857143,2.66753246753247
"129",86,"is_probably unlikely",4.45862068965517,5.60804597701149,4.7367816091954
"130",88,"is_probably unlikely",2.32941176470588,2.32941176470588,3.55294117647059
"131",102,"is_probably unlikely",7.65777777777778,18.7688888888889,9.00888888888889
"132",103,"is_probably unlikely",6.87361111111111,12.4291666666667,8.40416666666667
"133",105,"is_probably unlikely",3.5566265060241,3.5566265060241,4.87710843373494
"134",107,"is_probably unlikely",2.16222222222222,2.16222222222222,3.39333333333333
"135",108,"is_probably unlikely",1.16506024096386,1.16506024096386,2.44939759036145
"136",20,"might_be likely",3.72625,4.97625,5.02375
"137",22,"might_be likely",5.25733333333333,7.924,6.74266666666667
"138",41,"might_be likely",0,0,0
"139",42,"might_be likely",6.41410256410256,11.5423076923077,7.72051282051279
"140",43,"might_be likely",7.54871794871795,15.2410256410256,7.83589743589743
"141",80,"might_be likely",1.27142857142857,1.27142857142857,3.49047619047619
"142",82,"might_be likely",3.49186046511628,3.49186046511628,4.64767441860465
"143",84,"might_be likely",5.24155844155844,6.54025974025974,6.44675324675325
"144",86,"might_be likely",4.6367816091954,8.05632183908046,5.7367816091954
"145",88,"might_be likely",3.63294117647059,3.63294117647059,4.60235294117647
"146",102,"might_be likely",3.22777777777778,3.22777777777778,3.43888888888889
"147",103,"might_be likely",0,0,0
"148",105,"might_be likely",6.0710843373494,10.8903614457831,7.18192771084337
"149",107,"might_be likely",3.43666666666667,4.54777777777778,4.34111111111111
"150",108,"might_be likely",3.53493975903614,3.53493975903614,4.89879518072289
"151",20,"might_be possible",8.58,21.08,8.92
"152",22,"might_be possible",10.6813333333333,36.0146666666667,10.652
"153",41,"might_be possible",6.54605263157895,13.125,7.92763157894737
"154",42,"might_be possible",10.3012820512821,34.6602564102564,10.2115384615385
"155",43,"might_be possible",7.72179487179487,19.2602564102564,8.94487179487179
"156",80,"might_be possible",0,0,0
"157",82,"might_be possible",4.72441860465116,5.88720930232558,5.7406976744186
"158",84,"might_be possible",10.5168831168831,31.2961038961039,10.2623376623377
"159",86,"might_be possible",2.28505747126437,2.28505747126437,3.46206896551724
"160",88,"might_be possible",2.37176470588235,2.37176470588235,3.51058823529412
"161",102,"might_be possible",0,0,0
"162",103,"might_be possible",5.44305555555556,6.83194444444444,7.05694444444444
"163",105,"might_be possible",8.31686746987952,17.955421686747,8.55060240963855
"164",107,"might_be possible",1.13,1.13,3.31444444444444
"165",108,"might_be possible",3.50963855421687,3.50963855421687,4.92409638554217
"166",20,"might_be unlikely",7.64,12.64,7.36
"167",22,"might_be unlikely",2.67066666666667,2.67066666666667,3.996
"168",41,"might_be unlikely",6.56184210526316,11.7921052631579,7.94473684210526
"169",42,"might_be unlikely",1.28076923076923,1.28076923076923,2.56538461538462
"170",43,"might_be unlikely",0,0,0
"171",80,"might_be unlikely",3.58571428571429,3.58571428571429,4.74761904761905
"172",82,"might_be unlikely",5.90116279069767,10.5523255813953,6.88953488372093
"173",84,"might_be unlikely",2.53506493506494,2.53506493506494,3.95844155844156
"174",86,"might_be unlikely",3.48965517241379,3.48965517241379,4.55632183908046
"175",88,"might_be unlikely",0,0,0
"176",102,"might_be unlikely",4.44444444444444,7.75,5.58333333333333
"177",103,"might_be unlikely",4.17638888888889,5.56527777777778,5.54583333333333
"178",105,"might_be unlikely",2.45542168674699,2.45542168674699,3.56867469879518
"179",107,"might_be unlikely",1.13111111111111,1.13111111111111,2.20222222222222
"180",108,"might_be unlikely",0,0,0
